,공고 제목,기업 이름,도메인,기업 규모,사원수,설립 연도,요구 경력,요구 학력,스킬,고용 형태,급여,지역,근무 시간
0,데이터 엔지니어 (경력),나무기술㈜,응용소프트웨어개발및공급업,중소기업 (코스닥),140명,2016년(9년차),경력 (3년이상),학력무관,"['AWS', 'Python', 'SQL', 'Streamlit', 'Snowflake']",정규직,회사내규에 따름,서울시 강서구,주5일 (월~금)
1,[메이플그룹] 데이터 엔지니어 (DW),㈜넥슨,컴퓨터·하드웨어·장비,대기업 (비상장),"3,500명",1994년(31년차),경력무관,학력무관,명시되어있지 않음,정규직,회사내규에 따름,경기도 성남시 분당구,명시되어있지 않음
2,[신입/경력] 글로벌 인재 Pool 상시모집 - 데이터 엔지니어,코웨이㈜,그외기타달리분류되지않은개인서비스업,대기업 (코스피),"6,217명",1989년(36년차),신입·경력,대졸이상 (졸업예정자 가능),명시되어있지 않음,회사내규에따름,"서울시 구로구
지도",명시되어있지 않음,명시되어있지 않음
3,[인텔리전스랩스] 탐지솔루션실 데이터 엔지니어,㈜넥슨,컴퓨터·하드웨어·장비,대기업 (비상장),"3,500명",1994년(31년차),경력무관,학력무관,명시되어있지 않음,정규직,회사내규에 따름,경기도 성남시 분당구,명시되어있지 않음
4,[인텔리전스랩스] 분석지원팀 데이터 엔지니어,㈜넥슨,컴퓨터·하드웨어·장비,대기업 (비상장),"3,500명",1994년(31년차),경력무관,학력무관,명시되어있지 않음,정규직,회사내규에 따름,경기도 성남시 분당구,명시되어있지 않음
5,[중고나라] 데이터 엔지니어 (1 - 3년),중고나라,쇼핑몰·오픈마켓·소셜커머스,벤처기업 (비상장),150명,2014년(11년차),경력 (1년이상),대졸이상,"['API', 'AWS', 'ElasticStack', 'Python', 'RDBMS', 'Spark', 'SQL']",정규직,"회사내규에 따름 
 - 면접 후 결정",서울시 서초구,주5일 (월~금)
6,"[서울 본사 및 부산, 원주] 데이터 엔지니어 / Data Architect 채용 공고",펜타시스템테크놀러지㈜,솔루션·SI·CRM·ERP,중소기업 (비상장),330명,1987년(38년차),경력 (2년이상),대졸이상,"['JAVA', 'Python', 'Linux', 'ETL', 'Snowflake']",정규직수습3개월   계약직근무기간협의 정규직전환가능,"회사내규에 따름 
 - 면접 후 결정",서울시 영등포구,주5일 (월~금)09:00~18:00
7,[기술혁신사업부] 데이터 엔지니어,㈜오픈놀,응용소프트웨어개발및공급업,중소기업 (코스닥),137명,2012년(13년차),경력 (2년이상),학력무관,"['AWS', 'Git', 'Javascript', 'React', 'GitHub']",정규직수습1개월,"회사내규에 따름 
 - 면접 후 결정",서울시 마포구,주5일 (월~금)09:30~18:30
8,데이터 엔지니어 채용(경력직),㈜디앤에스에버,응용소프트웨어개발및공급업,중소기업 (비상장),50명,2013년(12년차),경력 (3년이상),학력무관,"['AWS', 'Git', 'PostgreSQL', 'Python', 'Tableau', 'Airflow', 'clickhouse', 'MWAA']",정규직수습3개월,"회사내규에 따름 
 - 면접 후 결정",서울시 강남구,주5일 (월~금)09:00~18:00
9,BI 개발 및 데이터 엔지니어 모집,㈜지음테크넷,컴퓨터시스템통합자문및구축서비스업,중소기업 (비상장),13명,2018년(7년차),경력 (7년이상),초대졸이상,"['JAVA', 'Python', 'SQL']",프리랜서,"회사내규에 따름 
 - 면접 후 결정",서울시 중구,주5일 (월~금)08:30~17:30
10,[주식회사 헥토] 데이터 엔지니어 채용 Data Engineer (경력 3년 이상),㈜헥토,컨설팅·연구·조사,중견기업 (비상장),명시되어있지 않음,2019년(6년차),경력 (3년이상),대졸이상,"['JAVA', 'MongoDB', 'Pytorch', 'Spring Boot', 'CRM', 'Snowflake', 'big query']",정규직,"회사내규에 따름 
 - 면접 후 결정",서울시 강남구,주5일 (월~금)09:00~18:00
11,데이터엔지니어 채용,㈜써티웨어,시스템소프트웨어개발및공급업,중소기업 (비상장),110명,2009년(16년차),경력무관,초대졸이상,"['SQL', 'DBMS', 'DW', 'ETL', 'OLAP']",정규직수습기간협의,"회사내규에 따름 
 - 면접 후 결정",서울시 송파구,주5일 (월~금)09:00~18:00
12,데이터 엔지니어 (인턴),㈜딥세일즈,응용소프트웨어개발및공급업,중소기업 (비상장),16명,2021년(4년차),경력무관,대졸이상,"['Hadoop', 'Spark', 'Airflow', 'AWS Athena', 'BigQuery', 'ETL', 'LLM']",인턴근무기간6개월 정규직전환가능,"회사내규에 따름 
 - 면접 후 결정",서울시 강남구,주5일 (월~금)09:00~18:00
13,[Qoo10] 데이터 엔지니어 (경력),㈜큐텐 코리아,전자상거래소매중개업,중소기업 (-),명시되어있지 않음,명시되어있지 않음,경력 (5년이상),학력무관,"['GCP', 'Hadoop', 'JAVA', 'MongoDB', 'Python', 'Scala', 'Spark', 'Linux', 'ETL']",정규직,"회사내규에 따름 
 - 면접 후 결정",서울시 강남구,주5일 (월~금)09:30~18:30
14,데이터 엔지니어 채용,로민,솔루션·SI·CRM·ERP,벤처기업 (비상장),38명,2018년(7년차),경력 (5년이상),대졸이상,['Python'],정규직수습3개월,"연봉 5,000만원 이상
 - 면접 후 결정",서울시 서초구,주5일 (월~금)09:00~18:00 자율출퇴근제도운영중(6~13시출근/8시간근무후퇴근)
15,빅데이터 분석 플랫폼 데이터 엔지니어 모집,㈜바이텍씨스템,솔루션·SI·CRM·ERP,중소기업 (비상장),70명,1988년(37년차),경력,대졸이상,"['Oracle', 'SQL']",정규직수습기간협의,"회사내규에 따름 
 - 면접 후 결정",경기도 성남시 분당구,주5일 (월~금)09:00~18:00
16,[LG그룹] DW 데이터엔지니어 경력 채용,㈜비즈테크아이,컴퓨터시스템통합자문및구축서비스업,대기업 (비상장),780명,2003년(22년차),경력 (1년이상),대졸이상,명시되어있지 않음,정규직   계약직,"회사내규에 따름 
 - 면접 후 결정",서울시 마포구,주5일 (월~금)09:00~18:00
17,[LOST ARK] 게임 데이터엔지니어 담당,㈜스마일게이트알피지,게임·애니메이션,중견기업 (비상장),590명,2011년(14년차),경력 (1년이상),학력무관,"['Django', 'Flask', 'Hadoop', 'JAVA', 'Keras', 'Python', 'Pytorch', 'Scala', 'SQL', 'Tensorflow']",정규직수습3개월,"회사내규에 따름 
 - 면접 후 결정",경기도 성남시 분당구,주5일 (월~금)09:00~18:00 유연근무제
18,데이터 엔지니어(MS) 채용(신입/경력),엠클라우드브리지㈜,시스템소프트웨어개발및공급업,중소기업 (비상장),56명,2022년(3년차),신입·경력 (1년이상),학력무관,"['AWS', 'Azure', 'JAVA', 'MongoDB', 'MSSQL', 'Python', 'R', 'SQL', 'Excel', 'POWER BI']",정규직수습3개월,"연봉 3,700만원 이상",서울시 강남구,주5일 (월~금)09:00~18:00
19,데이터 엔지니어,로민,솔루션·SI·CRM·ERP,벤처기업 (비상장),38명,2018년(7년차),경력 (5년이상),대졸이상,"['AWS', 'Docker', 'Pandas', 'PostgreSQL', 'Python', 'Airflow']",정규직,회사내규에 따름,서울시 서초구,주5일 (월~금)09:00~18:00
